"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2017",-2.66680743243242,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2018",-10.1286417771222,
"AUS","VAACTY","AGRFORTFISH","AGRWTH","A","2019",-7.95597180650768,
"AUS","VAACTY","CONSTR","AGRWTH","A","1975",5.10374367247037,
"AUS","VAACTY","CONSTR","AGRWTH","A","1976",4.82150890470772,
"AUS","VAACTY","CONSTR","AGRWTH","A","1977",-2.92847946277549,
"AUS","VAACTY","CONSTR","AGRWTH","A","1978",2.8659852799667,
"AUS","VAACTY","CONSTR","AGRWTH","A","1979",2.3184082117665,
"AUS","VAACTY","CONSTR","AGRWTH","A","1980",7.29676303434642,
"AUS","VAACTY","CONSTR","AGRWTH","A","1981",4.36634963038021,
"AUS","VAACTY","CONSTR","AGRWTH","A","1982",-11.3616805313445,
"AUS","VAACTY","CONSTR","AGRWTH","A","1983",0.256410256410262,
"AUS","VAACTY","CONSTR","AGRWTH","A","1984",8.62364363221018,
"AUS","VAACTY","CONSTR","AGRWTH","A","1985",5.42221003063136,
"AUS","VAACTY","CONSTR","AGRWTH","A","1986",-2.80801422438093,
"AUS","VAACTY","CONSTR","AGRWTH","A","1987",7.9289650402695,
"AUS","VAACTY","CONSTR","AGRWTH","A","1988",10.1887260475019,
"AUS","VAACTY","CONSTR","AGRWTH","A","1989",2.29617679060519,
"AUS","VAACTY","CONSTR","AGRWTH","A","1990",-6.5156794425087,
"AUS","VAACTY","CONSTR","AGRWTH","A","1991",-8.2841281362183,
"AUS","VAACTY","CONSTR","AGRWTH","A","1992",5.81982290285322,
"AUS","VAACTY","CONSTR","AGRWTH","A","1993",6.1101566447701,
"AUS","VAACTY","CONSTR","AGRWTH","A","1994",5.53163930054478,
"AUS","VAACTY","CONSTR","AGRWTH","A","1995",1.64795494747481,
"AUS","VAACTY","CONSTR","AGRWTH","A","1996",2.8038710823049,
"AUS","VAACTY","CONSTR","AGRWTH","A","1997",10.099492175355,
"AUS","VAACTY","CONSTR","AGRWTH","A","1998",9.38642318131187,
"AUS","VAACTY","CONSTR","AGRWTH","A","1999",6.75807469450978,
"AUS","VAACTY","CONSTR","AGRWTH","A","2000",-14.2995324842818,
"AUS","VAACTY","CONSTR","AGRWTH","A","2001",12.4545397542012,
"AUS","VAACTY","CONSTR","AGRWTH","A","2002",16.3569706009451,
"AUS","VAACTY","CONSTR","AGRWTH","A","2003",8.23040337362677,
"AUS","VAACTY","CONSTR","AGRWTH","A","2004",4.91028436700944,
"AUS","VAACTY","CONSTR","AGRWTH","A","2005",6.44987707988224,
"AUS","VAACTY","CONSTR","AGRWTH","A","2006",5.70125879670929,
"AUS","VAACTY","CONSTR","AGRWTH","A","2007",7.19791451773222,
"AUS","VAACTY","CONSTR","AGRWTH","A","2008",4.44899315943247,
"AUS","VAACTY","CONSTR","AGRWTH","A","2009",0.581220059629483,
"AUS","VAACTY","CONSTR","AGRWTH","A","2010",2.95342137254577,
"AUS","VAACTY","CONSTR","AGRWTH","A","2011",11.3154595818674,
"AUS","VAACTY","CONSTR","AGRWTH","A","2012",3.5477636664826,
"AUS","VAACTY","CONSTR","AGRWTH","A","2013",4.48220938962525,
"AUS","VAACTY","CONSTR","AGRWTH","A","2014",-2.38941084032315,
"AUS","VAACTY","CONSTR","AGRWTH","A","2015",-1.79636598807009,
"AUS","VAACTY","CONSTR","AGRWTH","A","2016",-3.00200367106167,
"AUS","VAACTY","CONSTR","AGRWTH","A","2017",5.02769893032293,
"AUS","VAACTY","CONSTR","AGRWTH","A","2018",-0.718637820292411,
"AUS","VAACTY","CONSTR","AGRWTH","A","2019",-4.63811483074621,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1975",-0.774405639331801,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1976",4.14048090721336,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1977",0.484581136600663,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1978",3.80491546492827,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1979",2.79919820752267,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1980",2.17547562214719,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1981",1.64495101826112,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1982",-3.45754275927346,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1983",3.69271599994546,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1984",7.53429191345809,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1985",3.70360237716939,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1986",0.238088957134746,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1987",9.33052603865534,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1988",5.31215772156493,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1989",3.08298046213658,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1990",0.884205157652445,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1991",-0.589249755911919,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1992",1.81397887780418,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1993",3.64156431334045,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1994",3.23130493475306,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1995",3.5491815708118,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1996",1.27978506342137,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1997",3.48870599016766,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1998",2.04145954637484,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","1999",2.23211823627533,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2000",3.41437780109759,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2001",1.99631054221388,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2002",2.32944815420578,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2003",-0.017883373604374,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2004",0.915993031092623,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2005",0.357275246644574,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2006",4.48540294066994,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2007",3.1633590495807,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2008",-0.576407873295189,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2009",3.99104594262771,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2010",0.725570998296894,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2011",3.89535918392286,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2012",3.43098598041922,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2013",3.91549118382056,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2014",3.27816879503349,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2015",2.02843459756114,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2016",0.379697265904158,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2017",3.36995786412586,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2018",2.31685141635697,
"AUS","VAACTY","INDUSENRG","AGRWTH","A","2019",1.93014470391637,
"AUS","VAACTY","MFG","AGRWTH","A","1975",-1.06798139018125,
"AUS","VAACTY","MFG","AGRWTH","A","1976",2.47066090179123,
"AUS","VAACTY","MFG","AGRWTH","A","1977",-0.432900432900425,
"AUS","VAACTY","MFG","AGRWTH","A","1978",4.11805173362686,
"AUS","VAACTY","MFG","AGRWTH","A","1979",4.30933093705813,
"AUS","VAACTY","MFG","AGRWTH","A","1980",2.04981376846479,
"AUS","VAACTY","MFG","AGRWTH","A","1981",2.47914390704142,
"AUS","VAACTY","MFG","AGRWTH","A","1982",-8.22420622902762,
"AUS","VAACTY","MFG","AGRWTH","A","1983",1.51795142555439,
"AUS","VAACTY","MFG","AGRWTH","A","1984",5.10726823560004,
"AUS","VAACTY","MFG","AGRWTH","A","1985",0.637076622380565,
"AUS","VAACTY","MFG","AGRWTH","A","1986",2.73622361805958,
"AUS","VAACTY","MFG","AGRWTH","A","1987",6.66913937711626,
"AUS","VAACTY","MFG","AGRWTH","A","1988",5.75976130921,
"AUS","VAACTY","MFG","AGRWTH","A","1989",-1.17830476836925,
"AUS","VAACTY","MFG","AGRWTH","A","1990",-2.20118698820524,
"AUS","VAACTY","MFG","AGRWTH","A","1991",-2.96731997454075,
"AUS","VAACTY","MFG","AGRWTH","A","1992",2.13634615819593,
"AUS","VAACTY","MFG","AGRWTH","A","1993",4.46125056748347,
"AUS","VAACTY","MFG","AGRWTH","A","1994",2.12317150731396,
"AUS","VAACTY","MFG","AGRWTH","A","1995",2.3271021247003,
"AUS","VAACTY","MFG","AGRWTH","A","1996",1.62499366029314,
"AUS","VAACTY","MFG","AGRWTH","A","1997",3.20301037060698,
"AUS","VAACTY","MFG","AGRWTH","A","1998",2.62485976246663,
"AUS","VAACTY","MFG","AGRWTH","A","1999",1.32598247102063,
"AUS","VAACTY","MFG","AGRWTH","A","2000",2.12152496814457,
"AUS","VAACTY","MFG","AGRWTH","A","2001",2.74686242008052,
"AUS","VAACTY","MFG","AGRWTH","A","2002",3.85501799422057,
"AUS","VAACTY","MFG","AGRWTH","A","2003",1.27258605532463,
"AUS","VAACTY","MFG","AGRWTH","A","2004",-0.984374736629186,
"AUS","VAACTY","MFG","AGRWTH","A","2005",-0.641778594896412,
"AUS","VAACTY","MFG","AGRWTH","A","2006",2.0662714594113,
"AUS","VAACTY","MFG","AGRWTH","A","2007",3.97837910427718,
"AUS","VAACTY","MFG","AGRWTH","A","2008",-5.13060605082174,
"AUS","VAACTY","MFG","AGRWTH","A","2009",0.397352120345791,
"AUS","VAACTY","MFG","AGRWTH","A","2010",-0.254248061358527,
"AUS","VAACTY","MFG","AGRWTH","A","2011",0.907430222184466,
"AUS","VAACTY","MFG","AGRWTH","A","2012",-3.21817401042413,
"AUS","VAACTY","MFG","AGRWTH","A","2013",-1.07794433665968,
"AUS","VAACTY","MFG","AGRWTH","A","2014",-1.5883625617843,
"AUS","VAACTY","MFG","AGRWTH","A","2015",-2.43976549653249,
"AUS","VAACTY","MFG","AGRWTH","A","2016",-0.372826704285222,
"AUS","VAACTY","MFG","AGRWTH","A","2017",2.04948555981573,
"AUS","VAACTY","MFG","AGRWTH","A","2018",-0.694669694020975,
"AUS","VAACTY","MFG","AGRWTH","A","2019",-1.64493680648176,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1975",3.74753451559749,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1976",-1.33079847672885,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1977",0.745851203286423,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1978",2.67135541973031,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1979",2.21127268493831,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1980",3.06878306614653,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1981",2.92037417377807,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1982",1.55176235805994,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1983",2.43396638366486,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1984",2.72775705989256,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1985",5.42993465329175,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1986",2.76452358830435,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1987",3.57091570468313,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1988",5.52294680284112,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1989",5.61930623723618,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1990",1.1776902337049,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1991",-0.229598286731144,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1992",1.72652503402464,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1993",1.28613558253566,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1994",6.07527321477042,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1995",3.16079327561079,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1996",4.59293626650504,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1997",3.09538287982272,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1998",4.44946054765667,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","1999",3.26138663121702,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2000",5.06280752062368,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2001",1.0032892815033,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2002",4.45913570587995,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2003",5.26629325711,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2004",0.414095853566067,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2005",0.120356079669835,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2006",3.99183760211048,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2007",2.06115221292217,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2008",4.52983828198499,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2009",0.144733272873372,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2010",1.68648994053499,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2011",3.90142153768718,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2012",-2.14138005491139,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2013",4.03698450990508,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2014",1.94114669910276,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2015",2.55808639469949,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2016",1.39204071708545,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2017",2.23781123489427,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2018",4.16913605381588,
"AUS","VAACTY","OTHSERVACT","AGRWTH","A","2019",-5.49560551762798,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1975",-0.889225359946561,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1976",4.57793889187222,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1977",2.7508170735027,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1978",1.56027856103871,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1979",3.11651026783502,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1980",4.31661297787751,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1981",3.1740779956186,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1982",-3.38428647803506,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1983",3.8236856083499,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1984",5.82161125296519,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1985",2.80958279232691,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1986",0.20471530828601,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1987",4.93636488041961,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1988",6.22997242729615,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1989",2.88933707476063,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1990",-2.47070354105855,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1991",1.41056816904501,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1992",0.965755278192888,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1993",5.70584748671014,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1994",7.63623838516983,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1995",5.47808162423701,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1996",5.09651823861884,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1997",4.23438155962122,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1998",4.8215350054755,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","1999",4.5592697094326,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2000",2.61020723835206,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2001",3.5495539828235,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2002",4.79109125463511,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2003",4.65673694066234,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2004",4.8612364669513,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2005",2.39757646051168,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2006",4.68419554805733,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2007",4.47160091070953,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2008",-0.111114014356233,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2009",1.71199674336471,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2010",1.68106298801947,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2011",4.37734638306666,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2012",2.944211637931,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2013",0.203146526332203,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2014",2.43010727365447,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2015",2.98921306463801,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2016",2.8767060647683,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2017",2.08411415806709,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2018",1.19082683917692,
"AUS","VAACTY","WHLEHTELTRANSP","AGRWTH","A","2019",-4.10224233480438,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1989",4.55281983432118,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1990",3.45687942593262,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1991",3.32659366505568,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1992",3.52393406534534,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1993",3.616002299554,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1994",3.28941286269607,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1995",3.69420098996412,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1996",3.53033421542683,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1997",3.30298695586284,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1998",3.3263832918667,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","1999",3.38737495688168,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2000",3.83586873474256,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2001",4.31252715423606,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2002",3.16598427955247,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2003",3.35482853042071,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2004",3.13844193085869,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2005",2.96157904374896,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2006",2.38689279790502,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2007",2.53031125962319,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2008",2.4527377254826,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2009",2.36074143544968,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2010",2.43624774033301,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2011",2.40327440717833,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2012",2.43125190966918,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2013",2.37062346052006,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2014",2.54281844767089,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2015",2.58495725742829,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2016",2.90186847890876,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2017",2.63571520541573,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2018",2.26825629303147,
"AUS","VAACTY","AGRFORTFISH","PC_VA","A","2019",2.02717532809867,
"AUS","VAACTY","CONSTR","PC_VA","A","1989",7.45688627726161,
"AUS","VAACTY","CONSTR","PC_VA","A","1990",7.27438554557892,
"AUS","VAACTY","CONSTR","PC_VA","A","1991",6.39709712859184,
"AUS","VAACTY","CONSTR","PC_VA","A","1992",6.1324878424153,
"AUS","VAACTY","CONSTR","PC_VA","A","1993",6.27972961695736,
"AUS","VAACTY","CONSTR","PC_VA","A","1994",6.54624856374338,
"AUS","VAACTY","CONSTR","PC_VA","A","1995",6.45953655807886,
"AUS","VAACTY","CONSTR","PC_VA","A","1996",6.53670489071842,
"AUS","VAACTY","CONSTR","PC_VA","A","1997",6.42374779609896,
"AUS","VAACTY","CONSTR","PC_VA","A","1998",6.53152048218103,
"AUS","VAACTY","CONSTR","PC_VA","A","1999",6.86394323165624,
"AUS","VAACTY","CONSTR","PC_VA","A","2000",5.64517631858473,
"AUS","VAACTY","CONSTR","PC_VA","A","2001",6.22534395365677,
"AUS","VAACTY","CONSTR","PC_VA","A","2002",6.68228493858516,
"AUS","VAACTY","CONSTR","PC_VA","A","2003",7.21365750872871,
"AUS","VAACTY","CONSTR","PC_VA","A","2004",7.36964461673718,
"AUS","VAACTY","CONSTR","PC_VA","A","2005",7.2942917934721,
"AUS","VAACTY","CONSTR","PC_VA","A","2006",7.60608135215676,
"AUS","VAACTY","CONSTR","PC_VA","A","2007",7.63817091203508,
"AUS","VAACTY","CONSTR","PC_VA","A","2008",7.7506817878767,
"AUS","VAACTY","CONSTR","PC_VA","A","2009",8.05095800117562,
"AUS","VAACTY","CONSTR","PC_VA","A","2010",7.92826780141672,
"AUS","VAACTY","CONSTR","PC_VA","A","2011",8.28390042856462,
"AUS","VAACTY","CONSTR","PC_VA","A","2012",8.56899808338657,
"AUS","VAACTY","CONSTR","PC_VA","A","2013",8.67147523080907,
"AUS","VAACTY","CONSTR","PC_VA","A","2014",8.73890163911716,
"AUS","VAACTY","CONSTR","PC_VA","A","2015",8.50660731889625,
"AUS","VAACTY","CONSTR","PC_VA","A","2016",8.13018772462509,
"AUS","VAACTY","CONSTR","PC_VA","A","2017",8.23953897603589,
"AUS","VAACTY","CONSTR","PC_VA","A","2018",7.90445816280439,
"AUS","VAACTY","CONSTR","PC_VA","A","2019",7.65676542800765,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1989",23.7665819435256,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1990",22.8541925473978,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1991",22.9622389453107,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1992",22.9159208959476,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1993",22.7199180320269,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1994",22.3133746857845,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1995",21.9148251049618,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1996",20.9938253454866,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1997",21.2223195573347,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1998",20.3034656761397,
"AUS","VAACTY","INDUSENRG","PC_VA","A","1999",19.8938878759507,
"AUS","VAACTY","INDUSENRG","PC_VA","A","2000",20.2870418108294,
"AUS","VAACTY","INDUSENRG","PC_VA","A","2001",19.5882693700217,
